NR_REF;POSTO_GRADUACAO;QUADRO;RACA
12038;3 SGT   ;QPPM;PARDO     
12039;3 SGT   ;QPPM;PARDO     
12040;3 SGT   ;QPPM;PARDO     
12041;3 SGT   ;QPPM;NAO INF.  
12042;3 SGT   ;QPPM;PARDO     
12043;3 SGT   ;QPPM;BRANCO    
12044;3 SGT   ;QPPM;BRANCO    
12045;3 SGT   ;QPPM;PRETO     
12046;3 SGT   ;QPPM;BRANCO    
12047;3 SGT   ;QPPM;PARDO     
12048;3 SGT   ;QPPM;PARDO     
12049;3 SGT   ;QPPM;BRANCO    
12050;3 SGT   ;QPPM;PARDO     
12051;3 SGT   ;QPPM;NAO INF.  
12052;3 SGT   ;QPPM;PARDO     
12053;3 SGT   ;QPPM;PRETO     
12054;3 SGT   ;QPPM;BRANCO    
12055;3 SGT   ;QPPM;PARDO     
12056;3 SGT   ;QPPM;BRANCO    
12057;3 SGT   ;QPPM;NAO INF.  
12058;3 SGT   ;QPPM;BRANCO    
12059;3 SGT   ;QPPM;PARDO     
12060;3 SGT   ;QPPM;BRANCO    
12061;3 SGT   ;QPPM;BRANCO    
12062;3 SGT   ;QPPM;NAO INF.  
12063;3 SGT   ;QPPM;NAO INF.  
12064;3 SGT   ;QPPM;BRANCO    
12065;3 SGT   ;QPPM;BRANCO    
12066;3 SGT   ;QPPM;BRANCO    
12067;3 SGT   ;QPPM;NAO INF.  
12068;3 SGT   ;QPPM;BRANCO    
12069;3 SGT   ;QPPM;BRANCO    
12070;3 SGT   ;QPPM;PARDO     
12071;3 SGT   ;QPPM;BRANCO    
12072;3 SGT   ;QPPM;BRANCO    
12073;3 SGT   ;QPPM;PARDO     
12074;3 SGT   ;QPPM;PARDO     
12075;3 SGT   ;QPPM;PARDO     
12076;3 SGT   ;QPPM;PRETO     
12077;3 SGT   ;QPPM;PARDO     
12078;3 SGT   ;QPPM;BRANCO    
12079;3 SGT   ;QPPM;NAO INF.  
12080;3 SGT   ;QPPM;BRANCO    
12081;3 SGT   ;QPPM;PARDO     
12082;3 SGT   ;QPPM;NAO INF.  
12083;3 SGT   ;QPPM;PARDO     
12084;3 SGT   ;QPPM;BRANCO    
12085;3 SGT   ;QPPM;BRANCO    
12086;3 SGT   ;QPPM;PARDO     
12087;3 SGT   ;QPPM;PRETO     
12088;3 SGT   ;QPPM;PRETO     
12089;3 SGT   ;QPPM;PARDO     
12090;3 SGT   ;QPPM;BRANCO    
12091;3 SGT   ;QPPM;PARDO     
12092;3 SGT   ;QPPM;PARDO     
12093;3 SGT   ;QPPM;PARDO     
12094;3 SGT   ;QPPM;NAO INF.  
12095;3 SGT   ;QPPM;NAO INF.  
12096;3 SGT   ;QPPM;BRANCO    
12097;3 SGT   ;QPPM;PARDO     
12098;3 SGT   ;QPPM;BRANCO    
12099;3 SGT   ;QPPM;BRANCO    
12100;3 SGT   ;QPPM;BRANCO    
12101;3 SGT   ;QPPM;BRANCO    
12102;3 SGT   ;QPPM;PARDO     
12103;3 SGT   ;QPPM;BRANCO    
12104;3 SGT   ;QPPM;PARDO     
12105;3 SGT   ;QPPM;PARDO     
12106;3 SGT   ;QPPM;BRANCO    
12107;3 SGT   ;QPPM;BRANCO    
12108;3 SGT   ;QPPM;BRANCO    
12109;3 SGT   ;QPPM;BRANCO    
12110;3 SGT   ;QPPM;PRETO     
12111;3 SGT   ;QPPM;BRANCO    
12112;3 SGT   ;QPPM;BRANCO    
12113;3 SGT   ;QPPM;PRETO     
12114;3 SGT   ;QPPM;PARDO     
12115;3 SGT   ;QPPM;BRANCO    
12116;3 SGT   ;QPPM;BRANCO    
12117;3 SGT   ;QPPM;BRANCO    
12118;3 SGT   ;QPPM;BRANCO    
12119;3 SGT   ;QPPM;BRANCO    
12120;3 SGT   ;QPPM;PARDO     
12121;3 SGT   ;QPPM;PARDO     
12122;3 SGT   ;QPPM;BRANCO    
12123;3 SGT   ;QPPM;PRETO     
12124;3 SGT   ;QPPM;BRANCO    
12125;3 SGT   ;QPPM;PRETO     
12126;3 SGT   ;QPPM;PRETO     
12127;3 SGT   ;QPPM;BRANCO    
12128;3 SGT   ;QPPM;PARDO     
12129;3 SGT   ;QPPM;PARDO     
12130;3 SGT   ;QPPM;BRANCO    
12131;3 SGT   ;QPPM;PARDO     
12132;3 SGT   ;QPPM;BRANCO    
12133;3 SGT   ;QPPM;BRANCO    
12134;3 SGT   ;QPPM;BRANCO    
12135;3 SGT   ;QPPM;PARDO     
12136;3 SGT   ;QPPM;PARDO     
12137;3 SGT   ;QPPM;BRANCO    
12138;3 SGT   ;QPPM;PARDO     
12139;3 SGT   ;QPPM;PARDO     
12140;3 SGT   ;QPPM;BRANCO    
12141;3 SGT   ;QPPM;BRANCO    
12142;3 SGT   ;QPPM;PARDO     
12143;3 SGT   ;QPPM;PARDO     
12144;3 SGT   ;QPPM;PARDO     
12145;3 SGT   ;QPPM;PARDO     
12146;3 SGT   ;QPPM;PARDO     
12147;3 SGT   ;QPPM;PARDO     
12148;3 SGT   ;QPPM;BRANCO    
12149;3 SGT   ;QPPM;BRANCO    
12150;3 SGT   ;QPPM;NAO INF.  
12151;3 SGT   ;QPPM;PARDO     
12152;3 SGT   ;QPPM;BRANCO    
12153;3 SGT   ;QPPM;BRANCO    
12154;3 SGT   ;QPPM;BRANCO    
12155;3 SGT   ;QPPM;PRETO     
12156;3 SGT   ;QPPM;PARDO     
12157;3 SGT   ;QPPM;BRANCO    
12158;3 SGT   ;QPPM;PRETO     
12159;3 SGT   ;QPPM;PARDO     
12160;3 SGT   ;QPPM;BRANCO    
12161;3 SGT   ;QPPM;BRANCO    
12162;3 SGT   ;QPPM;PARDO     
12163;3 SGT   ;QPPM;NAO INF.  
12164;3 SGT   ;QPPM;BRANCO    
12165;3 SGT   ;QPPM;BRANCO    
12166;3 SGT   ;QPPM;PRETO     
12167;3 SGT   ;QPPM;PRETO     
12168;3 SGT   ;QPPM;BRANCO    
12169;3 SGT   ;QPPM;BRANCO    
12170;3 SGT   ;QPPM;BRANCO    
12171;3 SGT   ;QPPM;PRETO     
12172;3 SGT   ;QPPM;BRANCO    
12173;3 SGT   ;QPPM;BRANCO    
12174;3 SGT   ;QPPM;PRETO     
12175;3 SGT   ;QPPM;BRANCO    
12176;3 SGT   ;QPPM;BRANCO    
12177;3 SGT   ;QPPM;BRANCO    
12178;3 SGT   ;QPPM;BRANCO    
12179;3 SGT   ;QPPM;BRANCO    
12180;3 SGT   ;QPPM;BRANCO    
12181;3 SGT   ;QPPM;BRANCO    
12182;3 SGT   ;QPPM;PARDO     
12183;3 SGT   ;QPPM;BRANCO    
12184;3 SGT   ;QPPM;PARDO     
12185;3 SGT   ;QPPM;PARDO     
12186;3 SGT   ;QPPM;BRANCO    
12187;3 SGT   ;QPPM;PARDO     
12188;3 SGT   ;QPPM;BRANCO    
12189;3 SGT   ;QPPM;PARDO     
12190;3 SGT   ;QPPM;BRANCO    
12191;3 SGT   ;QPPM;PARDO     
12192;3 SGT   ;QPPM;BRANCO    
12193;3 SGT   ;QPPM;BRANCO    
12194;3 SGT   ;QPPM;PARDO     
12195;3 SGT   ;QPPM;PARDO     
12196;3 SGT   ;QPPM;BRANCO    
12197;3 SGT   ;QPPM;PARDO     
12198;3 SGT   ;QPPM;BRANCO    
12199;3 SGT   ;QPPM;BRANCO    
12200;3 SGT   ;QPPM;PARDO     
12201;3 SGT   ;QPPM;BRANCO    
12202;3 SGT   ;QPPM;BRANCO    
12203;3 SGT   ;QPPM;BRANCO    
12204;3 SGT   ;QPPM;BRANCO    
12205;3 SGT   ;QPPM;PARDO     
12206;3 SGT   ;QPPM;BRANCO    
12207;3 SGT   ;QPPM;PRETO     
12208;3 SGT   ;QPPM;BRANCO    
12209;3 SGT   ;QPPM;BRANCO    
12210;3 SGT   ;QPPM;BRANCO    
12211;3 SGT   ;QPPM;PARDO     
12212;3 SGT   ;QPPM;PARDO     
12213;3 SGT   ;QPPM;BRANCO    
12214;3 SGT   ;QPPM;BRANCO    
12215;3 SGT   ;QPPM;BRANCO    
12216;3 SGT   ;QPPM;BRANCO    
12217;3 SGT   ;QPPM;BRANCO    
12218;3 SGT   ;QPPM;BRANCO    
12219;3 SGT   ;QPPM;PARDO     
12220;3 SGT   ;QPPM;PARDO     
12221;3 SGT   ;QPPM;PARDO     
12222;3 SGT   ;QPPM;BRANCO    
12223;3 SGT   ;QPPM;PARDO     
12224;3 SGT   ;QPPM;PARDO     
12225;3 SGT   ;QPPM;PARDO     
12226;3 SGT   ;QPPM;BRANCO    
12227;3 SGT   ;QPPM;BRANCO    
12228;3 SGT   ;QPPM;BRANCO    
12229;3 SGT   ;QPPM;PARDO     
12230;3 SGT   ;QPPM;BRANCO    
12231;3 SGT   ;QPPM;BRANCO    
12232;3 SGT   ;QPPM;PARDO     
12233;3 SGT   ;QPPM;PARDO     
12234;3 SGT   ;QPPM;PRETO     
12235;3 SGT   ;QPPM;BRANCO    
12236;3 SGT   ;QPPM;PARDO     
12237;3 SGT   ;QPPM;BRANCO    
12238;3 SGT   ;QPPM;BRANCO    
12239;3 SGT   ;QPPM;PARDO     
12240;3 SGT   ;QPPM;PARDO     
12241;3 SGT   ;QPPM;BRANCO    
12242;3 SGT   ;QPPM;BRANCO    
12243;3 SGT   ;QPPM;NAO INF.  
12244;3 SGT   ;QPPM;BRANCO    
12245;3 SGT   ;QPPM;PARDO     
12246;3 SGT   ;QPPM;PARDO     
12247;3 SGT   ;QPPM;BRANCO    
12248;3 SGT   ;QPPM;PARDO     
12249;3 SGT   ;QPPM;BRANCO    
12250;3 SGT   ;QPPM;PRETO     
12251;3 SGT   ;QPPM;BRANCO    
12252;3 SGT   ;QPPM;AMARELO   
12253;3 SGT   ;QPPM;PARDO     
12254;3 SGT   ;QPPM;PARDO     
12255;3 SGT   ;QPPM;PARDO     
12256;3 SGT   ;QPPM;PARDO     
12257;3 SGT   ;QPPM;PARDO     
12258;3 SGT   ;QPPM;AMARELO   
12259;3 SGT   ;QPPM;BRANCO    
12260;3 SGT   ;QPPM;BRANCO    
12261;3 SGT   ;QPPM;BRANCO    
12262;3 SGT   ;QPPM;PARDO     
12263;3 SGT   ;QPPM;PARDO     
12264;3 SGT   ;QPPM;PARDO     
12265;3 SGT   ;QPPM;BRANCO    
12266;3 SGT   ;QPPM;PARDO     
12267;3 SGT   ;QPPM;PARDO     
12268;3 SGT   ;QPPM;PARDO     
12269;3 SGT   ;QPPM;PARDO     
12270;3 SGT   ;QPPM;PARDO     
12271;3 SGT   ;QPPM;BRANCO    
12272;3 SGT   ;QPPM;BRANCO    
12273;3 SGT   ;QPPM;BRANCO    
12274;3 SGT   ;QPPM;BRANCO    
12275;3 SGT   ;QPPM;BRANCO    
12276;3 SGT   ;QPE ;PARDO     
12277;3 SGT   ;QPE ;AMARELO   
12278;3 SGT   ;QPE ;NAO INF.  
12279;3 SGT   ;QPE ;PARDO     
12280;3 SGT   ;QPE ;PARDO     
12281;3 SGT   ;QPE ;PARDO     
12282;3 SGT   ;QPE ;BRANCO    
12283;3 SGT   ;QPE ;PARDO     
12284;3 SGT   ;QPPM;BRANCO    
12285;3 SGT   ;QPPM;BRANCO    
12286;3 SGT   ;QPPM;BRANCO    
12287;3 SGT   ;QPPM;PARDO     
12288;3 SGT   ;QPPM;BRANCO    
12289;3 SGT   ;QPPM;PARDO     
12290;3 SGT   ;QPPM;NAO INF.  
12291;3 SGT   ;QPPM;PARDO     
12292;3 SGT   ;QPPM;BRANCO    
12293;3 SGT   ;QPPM;BRANCO    
12294;3 SGT   ;QPPM;PARDO     
12295;3 SGT   ;QPPM;BRANCO    
12296;3 SGT   ;QPPM;PARDO     
12297;3 SGT   ;QPPM;PARDO     
12298;3 SGT   ;QPPM;PARDO     
12299;3 SGT   ;QPPM;PARDO     
12300;3 SGT   ;QPPM;BRANCO    
12301;3 SGT   ;QPPM;PARDO     
12302;3 SGT   ;QPPM;PARDO     
12303;3 SGT   ;QPPM;PARDO     
12304;3 SGT   ;QPPM;PARDO     
12305;3 SGT   ;QPPM;PRETO     
12306;3 SGT   ;QPPM;BRANCO    
12307;3 SGT   ;QPPM;NAO INF.  
12308;3 SGT   ;QPPM;PRETO     
12309;3 SGT   ;QPPM;PARDO     
12310;3 SGT   ;QPPM;BRANCO    
12311;3 SGT   ;QPPM;BRANCO    
12312;3 SGT   ;QPPM;PRETO     
12313;3 SGT   ;QPPM;PARDO     
12314;3 SGT   ;QPPM;BRANCO    
12315;3 SGT   ;QPPM;BRANCO    
12316;3 SGT   ;QPPM;BRANCO    
12317;3 SGT   ;QPPM;PARDO     
12318;3 SGT   ;QPPM;BRANCO    
12319;3 SGT   ;QPPM;PARDO     
12320;3 SGT   ;QPPM;PARDO     
12321;3 SGT   ;QPPM;PARDO     
12322;3 SGT   ;QPPM;BRANCO    
12323;3 SGT   ;QPPM;PARDO     
12324;3 SGT   ;QPPM;NAO INF.  
12325;3 SGT   ;QPPM;PARDO     
12326;3 SGT   ;QPPM;PARDO     
12327;3 SGT   ;QPPM;PARDO     
12328;3 SGT   ;QPPM;PARDO     
12329;3 SGT   ;QPPM;BRANCO    
12330;3 SGT   ;QPPM;PARDO     
12331;3 SGT   ;QPPM;PARDO     
12332;3 SGT   ;QPPM;BRANCO    
12333;3 SGT   ;QPPM;PARDO     
12334;3 SGT   ;QPPM;PRETO     
12335;3 SGT   ;QPPM;BRANCO    
12336;3 SGT   ;QPPM;PARDO     
12337;3 SGT   ;QPPM;BRANCO    
12338;3 SGT   ;QPPM;BRANCO    
12339;3 SGT   ;QPPM;NAO INF.  
12340;3 SGT   ;QPPM;PARDO     
12341;3 SGT   ;QPPM;PRETO     
12342;3 SGT   ;QPPM;PARDO     
12343;3 SGT   ;QPPM;PRETO     
12344;3 SGT   ;QPPM;PARDO     
12345;3 SGT   ;QPPM;PARDO     
12346;3 SGT   ;QPPM;BRANCO    
12347;3 SGT   ;QPPM;NAO INF.  
12348;3 SGT   ;QPPM;BRANCO    
12349;3 SGT   ;QPPM;PARDO     
12350;3 SGT   ;QPPM;PARDO     
12351;3 SGT   ;QPPM;BRANCO    
12352;3 SGT   ;QPPM;BRANCO    
12353;3 SGT   ;QPPM;PARDO     
12354;3 SGT   ;QPPM;PARDO     
12355;3 SGT   ;QPPM;BRANCO    
12356;3 SGT   ;QPPM;BRANCO    
12357;3 SGT   ;QPPM;PARDO     
12358;3 SGT   ;QPPM;PARDO     
12359;3 SGT   ;QPPM;PARDO     
12360;3 SGT   ;QPPM;BRANCO    
12361;3 SGT   ;QPPM;PARDO     
12362;3 SGT   ;QPPM;BRANCO    
12363;3 SGT   ;QPPM;BRANCO    
12364;3 SGT   ;QPPM;PARDO     
12365;3 SGT   ;QPPM;PARDO     
12366;3 SGT   ;QPPM;BRANCO    
12367;3 SGT   ;QPPM;PRETO     
12368;3 SGT   ;QPPM;PARDO     
12369;3 SGT   ;QPPM;PARDO     
12370;3 SGT   ;QPPM;BRANCO    
12371;3 SGT   ;QPPM;PARDO     
12372;3 SGT   ;QPPM;PARDO     
12373;3 SGT   ;QPPM;BRANCO    
12374;3 SGT   ;QPPM;BRANCO    
12375;3 SGT   ;QPPM;BRANCO    
12376;3 SGT   ;QPPM;NAO INF.  
12377;3 SGT   ;QPPM;PARDO     
12378;3 SGT   ;QPPM;PARDO     
12379;3 SGT   ;QPPM;PARDO     
12380;3 SGT   ;QPPM;BRANCO    
12381;3 SGT   ;QPPM;BRANCO    
12382;3 SGT   ;QPPM;PARDO     
12383;3 SGT   ;QPPM;PARDO     
12384;3 SGT   ;QPPM;BRANCO    
12385;3 SGT   ;QPPM;PARDO     
12386;3 SGT   ;QPPM;PARDO     
12387;3 SGT   ;QPPM;PARDO     
12388;3 SGT   ;QPPM;BRANCO    
12389;3 SGT   ;QPPM;PARDO     
12390;3 SGT   ;QPPM;BRANCO    
12391;3 SGT   ;QPPM;PARDO     
12392;3 SGT   ;QPPM;PRETO     
12393;3 SGT   ;QPPM;PARDO     
12394;3 SGT   ;QPPM;PARDO     
12395;3 SGT   ;QPPM;PARDO     
12396;3 SGT   ;QPPM;BRANCO    
12397;3 SGT   ;QPPM;PARDO     
12398;3 SGT   ;QPPM;PARDO     
12399;3 SGT   ;QPPM;PARDO     
12400;3 SGT   ;QPPM;BRANCO    
12401;3 SGT   ;QPPM;BRANCO    
12402;3 SGT   ;QPPM;BRANCO    
12403;3 SGT   ;QPPM;BRANCO    
12404;3 SGT   ;QPPM;BRANCO    
12405;3 SGT   ;QPPM;PARDO     
12406;3 SGT   ;QPPM;BRANCO    
12407;3 SGT   ;QPPM;BRANCO    
12408;3 SGT   ;QPPM;PARDO     
12409;3 SGT   ;QPPM;BRANCO    
12410;3 SGT   ;QPPM;BRANCO    
12411;3 SGT   ;QPPM;BRANCO    
12412;3 SGT   ;QPPM;NAO INF.  
12413;3 SGT   ;QPPM;BRANCO    
12414;3 SGT   ;QPPM;NAO INF.  
12415;3 SGT   ;QPPM;NAO INF.  
12416;3 SGT   ;QPPM;PARDO     
12417;3 SGT   ;QPPM;BRANCO    
12418;3 SGT   ;QPPM;PRETO     
12419;3 SGT   ;QPPM;PARDO     
12420;3 SGT   ;QPPM;PARDO     
12421;3 SGT   ;QPPM;PARDO     
12422;3 SGT   ;QPPM;PARDO     
12423;3 SGT   ;QPPM;BRANCO    
12424;3 SGT   ;QPPM;PARDO     
12425;3 SGT   ;QPPM;PARDO     
12426;3 SGT   ;QPPM;BRANCO    
12427;3 SGT   ;QPPM;BRANCO    
12428;3 SGT   ;QPPM;PARDO     
12429;3 SGT   ;QPPM;PARDO     
12430;3 SGT   ;QPPM;BRANCO    
12431;3 SGT   ;QPPM;PARDO     
12432;3 SGT   ;QPPM;BRANCO    
12433;3 SGT   ;QPPM;BRANCO    
12434;3 SGT   ;QPPM;BRANCO    
12435;3 SGT   ;QPPM;BRANCO    
12436;3 SGT   ;QPPM;BRANCO    
12437;3 SGT   ;QPPM;BRANCO    
12438;3 SGT   ;QPPM;AMARELO   
12439;3 SGT   ;QPPM;PARDO     
12440;3 SGT   ;QPPM;BRANCO    
12441;3 SGT   ;QPPM;PARDO     
12442;3 SGT   ;QPPM;BRANCO    
12443;3 SGT   ;QPPM;PARDO     
12444;3 SGT   ;QPPM;BRANCO    
12445;3 SGT   ;QPPM;PARDO     
12446;3 SGT   ;QPPM;BRANCO    
12447;3 SGT   ;QPPM;BRANCO    
12448;3 SGT   ;QPPM;PARDO     
12449;3 SGT   ;QPPM;BRANCO    
12450;3 SGT   ;QPPM;BRANCO    
12451;3 SGT   ;QPPM;PARDO     
12452;3 SGT   ;QPPM;BRANCO    
12453;3 SGT   ;QPPM;PARDO     
12454;3 SGT   ;QPPM;PARDO     
12455;3 SGT   ;QPPM;PARDO     
12456;3 SGT   ;QPPM;BRANCO    
12457;3 SGT   ;QPPM;NAO INF.  
12458;3 SGT   ;QPPM;BRANCO    
12459;3 SGT   ;QPPM;PRETO     
12460;3 SGT   ;QPPM;BRANCO    
12461;3 SGT   ;QPPM;PARDO     
12462;3 SGT   ;QPPM;PARDO     
12463;3 SGT   ;QPPM;BRANCO    
12464;3 SGT   ;QPPM;PARDO     
12465;3 SGT   ;QPPM;PRETO     
12466;3 SGT   ;QPPM;PRETO     
12467;3 SGT   ;QPPM;BRANCO    
12468;3 SGT   ;QPPM;BRANCO    
12469;3 SGT   ;QPPM;PARDO     
12470;3 SGT   ;QPPM;BRANCO    
12471;3 SGT   ;QPPM;BRANCO    
12472;3 SGT   ;QPPM;PARDO     
12473;3 SGT   ;QPPM;BRANCO    
12474;3 SGT   ;QPPM;PARDO     
12475;3 SGT   ;QPPM;BRANCO    
12476;3 SGT   ;QPPM;PARDO     
12477;3 SGT   ;QPPM;BRANCO    
12478;3 SGT   ;QPPM;PARDO     
12479;3 SGT   ;QPPM;BRANCO    
12480;3 SGT   ;QPPM;BRANCO    
12481;3 SGT   ;QPPM;BRANCO    
12482;3 SGT   ;QPPM;BRANCO    
12483;3 SGT   ;QPPM;PARDO     
12484;3 SGT   ;QPPM;BRANCO    
12485;3 SGT   ;QPPM;BRANCO    
12486;3 SGT   ;QPPM;BRANCO    
12487;3 SGT   ;QPPM;BRANCO    
12488;3 SGT   ;QPPM;BRANCO    
12489;3 SGT   ;QPPM;PARDO     
12490;3 SGT   ;QPPM;BRANCO    
12491;3 SGT   ;QPPM;PARDO     
12492;3 SGT   ;QPPM;BRANCO    
12493;3 SGT   ;QPPM;PRETO     
12494;3 SGT   ;QPPM;BRANCO    
12495;3 SGT   ;QPPM;BRANCO    
12496;3 SGT   ;QPPM;PARDO     
12497;3 SGT   ;QPPM;PARDO     
12498;3 SGT   ;QPPM;BRANCO    
12499;3 SGT   ;QPPM;BRANCO    
12500;3 SGT   ;QPPM;PARDO     
12501;3 SGT   ;QPPM;PARDO     
12502;3 SGT   ;QPPM;BRANCO    
12503;3 SGT   ;QPPM;BRANCO    
12504;3 SGT   ;QPPM;PRETO     
12505;3 SGT   ;QPPM;BRANCO    
12506;3 SGT   ;QPPM;BRANCO    
12507;3 SGT   ;QPPM;PARDO     
12508;3 SGT   ;QPPM;BRANCO    
12509;3 SGT   ;QPPM;PRETO     
12510;3 SGT   ;QPPM;BRANCO    
12511;3 SGT   ;QPPM;PRETO     
12512;3 SGT   ;QPPM;BRANCO    
12513;3 SGT   ;QPPM;BRANCO    
12514;3 SGT   ;QPPM;BRANCO    
12515;3 SGT   ;QPPM;BRANCO    
12516;3 SGT   ;QPPM;BRANCO    
12517;3 SGT   ;QPPM;BRANCO    
12518;3 SGT   ;QPPM;PARDO     
12519;3 SGT   ;QPPM;PARDO     
12520;3 SGT   ;QPPM;BRANCO    
12521;3 SGT   ;QPPM;NAO INF.  
12522;3 SGT   ;QPPM;NAO INF.  
12523;3 SGT   ;QPPM;PRETO     
12524;3 SGT   ;QPPM;BRANCO    
12525;3 SGT   ;QPPM;BRANCO    
12526;3 SGT   ;QPPM;BRANCO    
12527;3 SGT   ;QPPM;PARDO     
12528;3 SGT   ;QPPM;PARDO     
12529;3 SGT   ;QPPM;NAO INF.  
12530;3 SGT   ;QPPM;BRANCO    
12531;3 SGT   ;QPPM;BRANCO    
12532;3 SGT   ;QPPM;PARDO     
12533;3 SGT   ;QPPM;BRANCO    
12534;3 SGT   ;QPPM;PARDO     
12535;3 SGT   ;QPPM;BRANCO    
12536;3 SGT   ;QPPM;BRANCO    
12537;3 SGT   ;QPPM;PARDO     
12538;3 SGT   ;QPPM;BRANCO    
12539;3 SGT   ;QPPM;BRANCO    
12540;3 SGT   ;QPPM;BRANCO    
12541;3 SGT   ;QPPM;BRANCO    
12542;3 SGT   ;QPPM;PARDO     
12543;3 SGT   ;QPPM;BRANCO    
12544;3 SGT   ;QPPM;BRANCO    
12545;3 SGT   ;QPPM;BRANCO    
12546;3 SGT   ;QPPM;PARDO     
12547;3 SGT   ;QPPM;BRANCO    
12548;3 SGT   ;QPPM;BRANCO    
12549;3 SGT   ;QPPM;PARDO     
12550;3 SGT   ;QPPM;BRANCO    
12551;3 SGT   ;QPPM;BRANCO    
12552;3 SGT   ;QPPM;BRANCO    
12553;3 SGT   ;QPPM;BRANCO    
12554;3 SGT   ;QPPM;BRANCO    
12555;3 SGT   ;QPPM;BRANCO    
12556;3 SGT   ;QPPM;PARDO     
12557;3 SGT   ;QPPM;BRANCO    
12558;3 SGT   ;QPPM;PARDO     
12559;3 SGT   ;QPPM;BRANCO    
12560;3 SGT   ;QPPM;PARDO     
12561;3 SGT   ;QPPM;BRANCO    
12562;3 SGT   ;QPPM;PARDO     
12563;3 SGT   ;QPPM;BRANCO    
12564;3 SGT   ;QPPM;PRETO     
12565;3 SGT   ;QPPM;BRANCO    
12566;3 SGT   ;QPPM;PARDO     
12567;3 SGT   ;QPPM;BRANCO    
12568;3 SGT   ;QPPM;PARDO     
12569;3 SGT   ;QPPM;PARDO     
12570;3 SGT   ;QPPM;PARDO     
12571;3 SGT   ;QPPM;BRANCO    
12572;3 SGT   ;QPPM;PRETO     
12573;3 SGT   ;QPPM;BRANCO    
12574;3 SGT   ;QPPM;BRANCO    
12575;3 SGT   ;QPPM;BRANCO    
12576;3 SGT   ;QPPM;BRANCO    
12577;3 SGT   ;QPPM;BRANCO    
12578;3 SGT   ;QPPM;BRANCO    
12579;3 SGT   ;QPPM;BRANCO    
12580;3 SGT   ;QPPM;BRANCO    
12581;3 SGT   ;QPPM;BRANCO    
12582;3 SGT   ;QPPM;BRANCO    
12583;3 SGT   ;QPPM;BRANCO    
12584;3 SGT   ;QPPM;BRANCO    
12585;3 SGT   ;QPPM;PARDO     
12586;3 SGT   ;QPPM;BRANCO    
12587;3 SGT   ;QPPM;BRANCO    
12588;3 SGT   ;QPPM;BRANCO    
12589;3 SGT   ;QPPM;BRANCO    
12590;3 SGT   ;QPPM;BRANCO    
12591;3 SGT   ;QPPM;PARDO     
12592;3 SGT   ;QPPM;BRANCO    
12593;3 SGT   ;QPPM;BRANCO    
12594;3 SGT   ;QPPM;BRANCO    
12595;3 SGT   ;QPPM;PARDO     
12596;3 SGT   ;QPPM;PARDO     
12597;3 SGT   ;QPPM;BRANCO    
12598;3 SGT   ;QPPM;BRANCO    
12599;3 SGT   ;QPPM;BRANCO    
12600;3 SGT   ;QPPM;BRANCO    
12601;3 SGT   ;QPPM;PARDO     
12602;3 SGT   ;QPPM;PARDO     
12603;3 SGT   ;QPPM;BRANCO    
12604;3 SGT   ;QPPM;BRANCO    
12605;3 SGT   ;QPPM;BRANCO    
12606;3 SGT   ;QPPM;BRANCO    
12607;3 SGT   ;QPPM;BRANCO    
12608;3 SGT   ;QPPM;PRETO     
12609;3 SGT   ;QPPM;BRANCO    
12610;3 SGT   ;QPPM;BRANCO    
12611;3 SGT   ;QPPM;BRANCO    
12612;3 SGT   ;QPPM;INDIGENA  
12613;3 SGT   ;QPPM;BRANCO    
12614;3 SGT   ;QPPM;BRANCO    
12615;3 SGT   ;QPPM;NAO INF.  
12616;3 SGT   ;QPPM;BRANCO    
12617;3 SGT   ;QPPM;BRANCO    
12618;3 SGT   ;QPPM;BRANCO    
12619;3 SGT   ;QPPM;BRANCO    
12620;3 SGT   ;QPPM;PARDO     
12621;3 SGT   ;QPPM;BRANCO    
12622;3 SGT   ;QPPM;PARDO     
12623;3 SGT   ;QPPM;PARDO     
12624;3 SGT   ;QPPM;BRANCO    
12625;3 SGT   ;QPPM;PARDO     
12626;3 SGT   ;QPPM;PARDO     
12627;3 SGT   ;QPPM;BRANCO    
12628;3 SGT   ;QPPM;BRANCO    
12629;3 SGT   ;QPPM;BRANCO    
12630;3 SGT   ;QPPM;BRANCO    
12631;3 SGT   ;QPPM;PARDO     
12632;3 SGT   ;QPPM;BRANCO    
12633;3 SGT   ;QPPM;BRANCO    
12634;3 SGT   ;QPPM;PARDO     
12635;3 SGT   ;QPPM;BRANCO    
12636;3 SGT   ;QPPM;BRANCO    
12637;3 SGT   ;QPPM;BRANCO    
12638;3 SGT   ;QPPM;BRANCO    
12639;3 SGT   ;QPPM;INDIGENA  
12640;3 SGT   ;QPPM;BRANCO    
12641;3 SGT   ;QPPM;BRANCO    
12642;3 SGT   ;QPPM;BRANCO    
12643;3 SGT   ;QPPM;BRANCO    
12644;3 SGT   ;QPPM;PRETO     
12645;3 SGT   ;QPPM;BRANCO    
12646;3 SGT   ;QPPM;PRETO     
12647;3 SGT   ;QPPM;NAO INF.  
12648;3 SGT   ;QPPM;PARDO     
12649;3 SGT   ;QPPM;BRANCO    
12650;3 SGT   ;QPPM;PARDO     
12651;3 SGT   ;QPPM;PRETO     
12652;3 SGT   ;QPPM;BRANCO    
12653;3 SGT   ;QPPM;BRANCO    
12654;3 SGT   ;QPPM;BRANCO    
