NR_REF;POSTO_GRADUACAO;QUADRO;RACA
151;TEN CEL ;QOPM;AMARELO   
152;TEN CEL ;QOPM;PARDO     
153;TEN CEL ;QOPM;BRANCO    
154;TEN CEL ;QOPM;NAO INF.  
155;TEN CEL ;QOPM;AMARELO   
156;TEN CEL ;QOPM;BRANCO    
157;TEN CEL ;QOPM;PRETO     
158;TEN CEL ;QOS ;BRANCO    
159;TEN CEL ;QOS ;PARDO     
160;TEN CEL ;QOS ;PARDO     
161;TEN CEL ;QOS ;BRANCO    
162;TEN CEL ;QOS ;BRANCO    
163;TEN CEL ;QOS ;PARDO     
164;TEN CEL ;QOS ;BRANCO    
165;TEN CEL ;QOS ;PARDO     
166;TEN CEL ;QOPM;BRANCO    
167;TEN CEL ;QOPM;BRANCO    
168;TEN CEL ;QOPM;NAO INF.  
169;TEN CEL ;QOPM;PARDO     
170;TEN CEL ;QOPM;BRANCO    
171;TEN CEL ;QOPM;AMARELO   
172;TEN CEL ;QOPM;BRANCO    
173;TEN CEL ;QOPM;PARDO     
174;TEN CEL ;QOPM;PARDO     
175;TEN CEL ;QOPM;PARDO     
176;TEN CEL ;QOPM;BRANCO    
177;TEN CEL ;QOPM;PARDO     
178;TEN CEL ;QOPM;PARDO     
179;TEN CEL ;QOPM;PARDO     
180;TEN CEL ;QOPM;PARDO     
181;TEN CEL ;QOPM;BRANCO    
182;TEN CEL ;QOPM;PARDO     
183;TEN CEL ;QOPM;PARDO     
184;TEN CEL ;QOPM;PARDO     
185;TEN CEL ;QOPM;BRANCO    
186;TEN CEL ;QOPM;PARDO     
187;TEN CEL ;QOPM;BRANCO    
188;TEN CEL ;QOPM;PARDO     
189;TEN CEL ;QOPM;BRANCO    
190;TEN CEL ;QOPM;BRANCO    
191;TEN CEL ;QOPM;BRANCO    
192;TEN CEL ;QOPM;BRANCO    
193;TEN CEL ;QOPM;PARDO     
194;TEN CEL ;QOPM;NAO INF.  
195;TEN CEL ;QOS ;PARDO     
196;TEN CEL ;QOS ;PARDO     
197;TEN CEL ;QOS ;BRANCO    
198;TEN CEL ;QOS ;BRANCO    
199;TEN CEL ;QOS ;BRANCO    
200;TEN CEL ;QOS ;BRANCO    
201;TEN CEL ;QOPM;BRANCO    
202;TEN CEL ;QOPM;BRANCO    
203;TEN CEL ;QOPM;BRANCO    
204;TEN CEL ;QOPM;BRANCO    
205;TEN CEL ;QOPM;AMARELO   
206;TEN CEL ;QOPM;BRANCO    
207;TEN CEL ;QOPM;BRANCO    
208;TEN CEL ;QOPM;BRANCO    
209;TEN CEL ;QOPM;PARDO     
